source_id,source_type,jurisdiction_id,county_fips,source_name,source_url,api_type,address_situs_fields,address_mailing_fields,join_key,license_notes,refresh_frequency_target,address_source_status,last_checked_at,provenance_notes
watech_statewide_parcels,parcel,king_county,53033,WaTech Washington State Parcels,https://geo.wa.gov/datasets/watech::washington-state-parcels-parcels-current/about,arcgis_feature_server,SITUS_ADDRESS;SITUS_CITY_NM;SITUS_ZIP_NR,OWNER_NAME;MAILING_ADDRESS,PARCEL_ID_NR;APN,Verify OCIO/WaTech terms for production scale,weekly,ingested,2026-06-08,County filter FIPS_NR; geometry + roll fields vary by contributor county
king_assessor_roll,assessor_value,king_county,53033,King County Assessor (planned),https://gismaps.kingcounty.gov/parcelviewer2/,arcgis_feature_server,TBD,TBD,PIN,Open/semi-open — confirm ToS,weekly,not_started,2026-06-08,Phase B attribute merge for situs/mailing when WaTech thin
seattle_address_points,parcel,seattle_city,53033,Seattle address points (planned),,arcgis_feature_server,ADDR_FULL,,parcel_id,City open data TBD,monthly,not_started,2026-06-08,Candidate-only fallback like Baltimore AddressPoint
baltimore_realproperty,assessor_value,baltimore_city,24510,Baltimore City Realproperty_OB,https://geodata.baltimorecity.gov/egis/rest/services/CityView/Realproperty_OB/FeatureServer/0,arcgis_feature_server,FULLADDR,MAILTOADD,PIN;BLOCKLOT,City open GIS,weekly,qa_passed,2026-06-08,Primary situs; AddressPoint fallback in backfill batch
baltimore_address_points,parcel,baltimore_city,24510,Baltimore AddressPoint_Native,https://egis.baltimorecity.gov/egis/rest/services/Address_Points/AddressPoint_Native/FeatureServer/0,arcgis_feature_server,full_addr,,blocklot,City open GIS,monthly,qa_passed,2026-06-08,Candidate-only fallback
pierce_assessor_roll,assessor_value,pierce_county,53053,Pierce County Assessor (planned),,arcgis_feature_server,TBD,TBD,PIN,Confirm county open data ToS,weekly,not_started,2026-06-08,Assessor merge when WaTech situs thin
snohomish_assessor_roll,assessor_value,snohomish_county,53061,Snohomish County Assessor (planned),,arcgis_feature_server,TBD,TBD,PIN,Confirm county open data ToS,weekly,not_started,2026-06-08,Assessor merge when WaTech situs thin
wa_county_assessor_roll,assessor_value,king_county,53033,Generic WA county assessor roll,,arcgis_feature_server,SITUS_ADDRESS;ADDR_FULL,MAILING_ADDRESS,PIN;APN,Per-county connector in connectors.py,weekly,not_started,2026-06-08,Fallback chain slot before centroid geocode
nominatim_centroid_fallback,vendor,king_county,53033,Nominatim centroid + assessor city/ZIP,https://nominatim.openstreetmap.org/,http,SITUS_ADDRESS,SITUS_CITY;SITUS_ZIP,centroid,Candidate-only; rate-limited,weekly,not_started,2026-06-08,Last resort before human source research
kennewick_parcel_zoning,zoning,kennewick_city,53005,Kennewick Parcel Zoning (CountyTaxID join),https://maps.ci.kennewick.wa.us/server/rest/services/Public/AllGISLayers/FeatureServer/59,arcgis_feature_server,,,CountyTaxID;Zoning,City public GIS; verify Kennewick ToS,monthly,source_found,2026-06-18,Attribute join: WaTech PARCEL_ID_NR strip 005- prefix
pasco_zoning_districts,zoning,pasco_city,53005,Pasco zoning districts,https://gis.pasco-wa.gov/gs/rest/services/Citybase_Published_Layers/Zoning/FeatureServer/0,arcgis_feature_server,,,Zone,City public GIS,monthly,source_found,2026-06-18,Spatial join; field Zone
benton_county_zoning,zoning,benton_unincorporated,53005,Benton County unincorporated zoning,https://maps.co.benton.wa.us/server/rest/services/Zoning/MapServer/0,arcgis_map_server,,,LandUseTyp,County public GIS,monthly,source_found,2026-06-18,Spatial join for unincorporated + Richland interim fallback
richland_parcel_zoning,zoning,richland_city,53005,Richland parcel zoning (REST blocked),https://gisweb24.ci.richland.wa.us/arcgis24web/rest/services/Richland/Zoning/MapServer/0,arcgis_map_server,,,ZoneType,City public GIS; pagination blocked on REST,monthly,blocked,2026-06-18,Use county spatial fallback until export path confirmed
